id,timestamp,datetime,hour,minute,day_of_week,is_weekend,time_period,bytes_rx,bytes_tx,bytes_total,mb_used,cumulative_mb_today,network_type,screen_on,battery_level,device_id,signal_strength,is_charging,device_model
4929,1779615698362,2026-05-24T17:41:38.362880,17,41,7,1,Afternoon,21461106,3787254,25248360,24.08,24.08,LTE,0,100,device-uuid-tester-105,-75,0,Tester Simulator Phone
2714,1779624338362,2026-05-24T20:05:38.362880,20,5,7,1,Evening,38905318,6865644,45770963,43.65,67.73,WIFI,0,96,device-uuid-tester-105,-72,0,Tester Simulator Phone
5290,1779632978362,2026-05-24T22:29:38.362880,22,29,7,1,Evening,45621237,8050806,53672044,51.19,118.91,LTE,1,92,device-uuid-tester-105,-93,1,Tester Simulator Phone
5314,1779641618362,2026-05-25T00:53:38.362880,0,53,1,0,Night,48098466,8487964,56586431,53.97,53.97,WIFI,0,88,device-uuid-tester-105,-95,1,Tester Simulator Phone
5277,1779650258362,2026-05-25T03:17:38.362880,3,17,1,0,Night,68779016,12137473,80916489,77.17,131.13,WIFI,1,84,device-uuid-tester-105,-78,0,Tester Simulator Phone
7849,1779658898362,2026-05-25T05:41:38.362880,5,41,1,0,Night,61670552,10883038,72553591,69.19,200.33,LTE,1,80,device-uuid-tester-105,-85,0,Tester Simulator Phone
7987,1779667538362,2026-05-25T08:05:38.362880,8,5,1,0,Morning,57272625,10106933,67379559,64.26,264.58,LTE,1,76,device-uuid-tester-105,-75,0,Tester Simulator Phone
1029,1779676178362,2026-05-25T10:29:38.362880,10,29,1,0,Morning,10362065,1828599,12190665,11.63,276.21,WIFI,0,72,device-uuid-tester-105,-85,0,Tester Simulator Phone
5542,1779684818362,2026-05-25T12:53:38.362880,12,53,1,0,Afternoon,21695077,3828543,25523620,24.34,300.55,WIFI,0,68,device-uuid-tester-105,-80,0,Tester Simulator Phone
7333,1779693458362,2026-05-25T15:17:38.362880,15,17,1,0,Afternoon,33985181,5997385,39982566,38.13,338.68,WIFI,0,64,device-uuid-tester-105,-65,0,Tester Simulator Phone
2047,1779702098362,2026-05-25T17:41:38.362880,17,41,1,0,Afternoon,47732139,8423318,56155458,53.55,392.24,5G,1,60,device-uuid-tester-105,-93,0,Tester Simulator Phone
3765,1779710738362,2026-05-25T20:05:38.362880,20,5,1,0,Evening,6240482,1101261,7341743,7.0,399.24,WIFI,0,56,device-uuid-tester-105,-81,0,Tester Simulator Phone
3575,1779719378362,2026-05-25T22:29:38.362880,22,29,1,0,Evening,35917874,6338448,42256323,40.3,439.54,5G,1,52,device-uuid-tester-105,-98,0,Tester Simulator Phone
6553,1779728018362,2026-05-26T00:53:38.362880,0,53,2,0,Night,27844269,4913694,32757964,31.24,31.24,LTE,0,48,device-uuid-tester-105,-100,0,Tester Simulator Phone
4302,1779736658362,2026-05-26T03:17:38.362880,3,17,2,0,Night,26610078,4695896,31305975,29.86,61.1,5G,1,44,device-uuid-tester-105,-98,0,Tester Simulator Phone
9199,1779745298362,2026-05-26T05:41:38.362880,5,41,2,0,Night,7634502,1347265,8981767,8.57,69.66,WIFI,1,40,device-uuid-tester-105,-85,0,Tester Simulator Phone
6690,1779753938362,2026-05-26T08:05:38.362880,8,5,2,0,Morning,40148678,7085060,47233739,45.05,114.71,LTE,1,36,device-uuid-tester-105,-87,0,Tester Simulator Phone
2971,1779762578362,2026-05-26T10:29:38.362880,10,29,2,0,Morning,58163707,10264183,68427891,65.26,179.97,WIFI,1,32,device-uuid-tester-105,-80,1,Tester Simulator Phone
6447,1779771218362,2026-05-26T12:53:38.362880,12,53,2,0,Afternoon,4676374,825242,5501616,5.25,185.21,5G,0,28,device-uuid-tester-105,-86,0,Tester Simulator Phone
1846,1779779858362,2026-05-26T15:17:38.362880,15,17,2,0,Afternoon,2081313,367290,2448603,2.34,187.55,LTE,1,24,device-uuid-tester-105,-70,1,Tester Simulator Phone
7122,1779788498362,2026-05-26T17:41:38.362880,17,41,2,0,Afternoon,59379855,10478798,69858654,66.62,254.17,LTE,1,100,device-uuid-tester-105,-68,0,Tester Simulator Phone
3443,1779797138362,2026-05-26T20:05:38.362880,20,5,2,0,Evening,61469616,10847579,72317195,68.97,323.14,5G,1,96,device-uuid-tester-105,-85,0,Tester Simulator Phone
8723,1779805778362,2026-05-26T22:29:38.362880,22,29,2,0,Evening,2598631,458582,3057213,2.92,326.05,WIFI,1,92,device-uuid-tester-105,-67,0,Tester Simulator Phone
8549,1779814418362,2026-05-27T00:53:38.362880,0,53,3,0,Night,14486521,2556444,17042966,16.25,16.25,5G,1,88,device-uuid-tester-105,-103,0,Tester Simulator Phone
8306,1779823058362,2026-05-27T03:17:38.362880,3,17,3,0,Night,43240542,7630683,50871226,48.51,64.77,5G,1,84,device-uuid-tester-105,-84,1,Tester Simulator Phone
5219,1779831698362,2026-05-27T05:41:38.362880,5,41,3,0,Night,12314192,2173092,14487285,13.82,78.58,5G,1,80,device-uuid-tester-105,-95,1,Tester Simulator Phone
1225,1779840338362,2026-05-27T08:05:38.362880,8,5,3,0,Morning,64798242,11434983,76233225,72.7,151.29,5G,1,76,device-uuid-tester-105,-101,0,Tester Simulator Phone
7520,1779848978362,2026-05-27T10:29:38.362880,10,29,3,0,Morning,13885378,2450360,16335739,15.58,166.86,5G,1,72,device-uuid-tester-105,-80,0,Tester Simulator Phone
7029,1779857618362,2026-05-27T12:53:38.362880,12,53,3,0,Afternoon,58494934,10322635,68817570,65.63,232.49,5G,1,68,device-uuid-tester-105,-95,1,Tester Simulator Phone
3632,1779866258362,2026-05-27T15:17:38.362880,15,17,3,0,Afternoon,70656397,12468775,83125173,79.27,311.77,LTE,0,64,device-uuid-tester-105,-77,1,Tester Simulator Phone
1282,1779874898362,2026-05-27T17:41:38.362880,17,41,3,0,Afternoon,45287409,7991895,53279305,50.81,362.58,LTE,0,60,device-uuid-tester-105,-100,0,Tester Simulator Phone
7863,1779883538362,2026-05-27T20:05:38.362880,20,5,3,0,Evening,67242022,11866239,79108261,75.44,438.02,WIFI,0,56,device-uuid-tester-105,-94,0,Tester Simulator Phone
1549,1779892178362,2026-05-27T22:29:38.362880,22,29,3,0,Evening,30441909,5372101,35814010,34.15,472.18,WIFI,0,52,device-uuid-tester-105,-71,1,Tester Simulator Phone
7599,1779900818362,2026-05-28T00:53:38.362880,0,53,4,0,Night,15809790,2789963,18599754,17.74,17.74,LTE,1,48,device-uuid-tester-105,-85,0,Tester Simulator Phone
1931,1779909458362,2026-05-28T03:17:38.362880,3,17,4,0,Night,32364978,5711466,38076445,36.31,54.05,LTE,1,44,device-uuid-tester-105,-81,0,Tester Simulator Phone
