id,timestamp,datetime,hour,minute,day_of_week,is_weekend,time_period,bytes_rx,bytes_tx,bytes_total,mb_used,cumulative_mb_today,network_type,screen_on,battery_level,device_id,signal_strength,is_charging,device_model
8120,1779613985944,2026-05-24T17:13:05.944450,17,13,7,1,Afternoon,26517221,4679509,31196731,29.75,29.75,WIFI,1,100,device-uuid-tester-104,-76,1,Tester Simulator Phone
8038,1779622625944,2026-05-24T19:37:05.944450,19,37,7,1,Evening,15985145,2820908,18806053,17.93,47.69,5G,0,96,device-uuid-tester-104,-87,0,Tester Simulator Phone
2031,1779631265944,2026-05-24T22:01:05.944450,22,1,7,1,Evening,62511844,11031501,73543346,70.14,117.82,LTE,0,92,device-uuid-tester-104,-90,1,Tester Simulator Phone
9254,1779639905944,2026-05-25T00:25:05.944450,0,25,1,0,Night,25459679,4492884,29952564,28.56,28.56,WIFI,1,88,device-uuid-tester-104,-105,1,Tester Simulator Phone
7223,1779648545944,2026-05-25T02:49:05.944450,2,49,1,0,Night,11925216,2104449,14029666,13.38,41.94,WIFI,1,84,device-uuid-tester-104,-103,0,Tester Simulator Phone
6000,1779657185944,2026-05-25T05:13:05.944450,5,13,1,0,Night,24660607,4351871,29012479,27.67,69.61,WIFI,1,80,device-uuid-tester-104,-74,0,Tester Simulator Phone
9669,1779665825944,2026-05-25T07:37:05.944450,7,37,1,0,Morning,46918360,8279710,55198070,52.64,122.25,5G,1,76,device-uuid-tester-104,-85,0,Tester Simulator Phone
6676,1779674465944,2026-05-25T10:01:05.944450,10,1,1,0,Morning,25689818,4533497,30223316,28.82,151.08,LTE,1,72,device-uuid-tester-104,-88,0,Tester Simulator Phone
6560,1779683105944,2026-05-25T12:25:05.944450,12,25,1,0,Afternoon,10628093,1875545,12503639,11.92,163.0,WIFI,0,68,device-uuid-tester-104,-84,0,Tester Simulator Phone
4303,1779691745944,2026-05-25T14:49:05.944450,14,49,1,0,Afternoon,36252085,6397426,42649512,40.67,203.68,LTE,1,64,device-uuid-tester-104,-101,0,Tester Simulator Phone
7732,1779700385944,2026-05-25T17:13:05.944450,17,13,1,0,Afternoon,34003238,6000571,40003810,38.15,241.83,5G,1,60,device-uuid-tester-104,-71,1,Tester Simulator Phone
2963,1779709025944,2026-05-25T19:37:05.944450,19,37,1,0,Evening,28222331,4980411,33202742,31.66,273.49,LTE,1,56,device-uuid-tester-104,-73,0,Tester Simulator Phone
9448,1779717665944,2026-05-25T22:01:05.944450,22,1,1,0,Evening,18790252,3315926,22106179,21.08,294.57,LTE,1,52,device-uuid-tester-104,-76,1,Tester Simulator Phone
5070,1779726305944,2026-05-26T00:25:05.944450,0,25,2,0,Night,59713782,10537726,70251509,67.0,67.0,LTE,0,48,device-uuid-tester-104,-77,1,Tester Simulator Phone
2870,1779734945944,2026-05-26T02:49:05.944450,2,49,2,0,Night,34356596,6062928,40419525,38.55,105.54,WIFI,0,44,device-uuid-tester-104,-65,0,Tester Simulator Phone
2170,1779743585944,2026-05-26T05:13:05.944450,5,13,2,0,Night,65053790,11480080,76533870,72.99,178.53,5G,0,40,device-uuid-tester-104,-92,0,Tester Simulator Phone
2540,1779752225944,2026-05-26T07:37:05.944450,7,37,2,0,Morning,52490701,9263064,61753766,58.89,237.43,5G,1,36,device-uuid-tester-104,-90,0,Tester Simulator Phone
4564,1779760865944,2026-05-26T10:01:05.944450,10,1,2,0,Morning,49556879,8745331,58302211,55.6,293.03,LTE,0,32,device-uuid-tester-104,-67,0,Tester Simulator Phone
6246,1779769505944,2026-05-26T12:25:05.944450,12,25,2,0,Afternoon,54899871,9688212,64588083,61.6,354.62,5G,1,28,device-uuid-tester-104,-66,0,Tester Simulator Phone
4332,1779778145944,2026-05-26T14:49:05.944450,14,49,2,0,Afternoon,24069278,4247519,28316798,27.01,381.63,LTE,0,24,device-uuid-tester-104,-99,0,Tester Simulator Phone
4059,1779786785944,2026-05-26T17:13:05.944450,17,13,2,0,Afternoon,8003607,1412401,9416009,8.98,390.61,WIFI,1,100,device-uuid-tester-104,-83,1,Tester Simulator Phone
4078,1779795425944,2026-05-26T19:37:05.944450,19,37,2,0,Evening,7173731,1265952,8439683,8.05,398.66,WIFI,0,96,device-uuid-tester-104,-92,0,Tester Simulator Phone
3673,1779804065944,2026-05-26T22:01:05.944450,22,1,2,0,Evening,66862972,11799348,78662320,75.02,473.67,LTE,0,92,device-uuid-tester-104,-75,0,Tester Simulator Phone
9548,1779812705944,2026-05-27T00:25:05.944450,0,25,3,0,Night,36404301,6424288,42828589,40.84,40.84,LTE,0,88,device-uuid-tester-104,-88,0,Tester Simulator Phone
2471,1779821345944,2026-05-27T02:49:05.944450,2,49,3,0,Night,41112536,7255153,48367690,46.13,86.97,LTE,1,84,device-uuid-tester-104,-94,0,Tester Simulator Phone
5147,1779829985944,2026-05-27T05:13:05.944450,5,13,3,0,Night,43130167,7611205,50741373,48.39,135.36,WIFI,1,80,device-uuid-tester-104,-94,1,Tester Simulator Phone
8435,1779838625944,2026-05-27T07:37:05.944450,7,37,3,0,Morning,62843689,11090062,73933752,70.51,205.87,WIFI,0,76,device-uuid-tester-104,-83,0,Tester Simulator Phone
7977,1779847265944,2026-05-27T10:01:05.944450,10,1,3,0,Morning,20147169,3555382,23702552,22.6,228.48,5G,1,72,device-uuid-tester-104,-84,0,Tester Simulator Phone
1163,1779855905944,2026-05-27T12:25:05.944450,12,25,3,0,Afternoon,1077075,190072,1267148,1.21,229.68,5G,0,68,device-uuid-tester-104,-83,1,Tester Simulator Phone
5836,1779864545944,2026-05-27T14:49:05.944450,14,49,3,0,Afternoon,20736983,3659467,24396451,23.27,252.95,WIFI,0,64,device-uuid-tester-104,-90,0,Tester Simulator Phone
8916,1779873185944,2026-05-27T17:13:05.944450,17,13,3,0,Afternoon,14449716,2549950,16999666,16.21,269.16,WIFI,0,60,device-uuid-tester-104,-87,1,Tester Simulator Phone
8439,1779881825944,2026-05-27T19:37:05.944450,19,37,3,0,Evening,35762394,6311010,42073404,40.12,309.29,WIFI,1,56,device-uuid-tester-104,-73,0,Tester Simulator Phone
8056,1779890465944,2026-05-27T22:01:05.944450,22,1,3,0,Evening,3769906,665277,4435184,4.23,313.52,WIFI,0,52,device-uuid-tester-104,-99,0,Tester Simulator Phone
7905,1779899105944,2026-05-28T00:25:05.944450,0,25,4,0,Night,12943103,2284077,15227180,14.52,14.52,5G,0,48,device-uuid-tester-104,-74,1,Tester Simulator Phone
5139,1779907745944,2026-05-28T02:49:05.944450,2,49,4,0,Night,11322891,1998157,13321049,12.7,27.23,LTE,1,44,device-uuid-tester-104,-88,0,Tester Simulator Phone
4584,1779916385944,2026-05-28T05:13:05.944450,5,13,4,0,Night,21484731,3791423,25276155,24.11,51.33,5G,0,40,device-uuid-tester-104,-104,0,Tester Simulator Phone
9215,1779925025944,2026-05-28T07:37:05.944450,7,37,4,0,Morning,4992988,881115,5874104,5.6,56.93,LTE,1,36,device-uuid-tester-104,-102,0,Tester Simulator Phone
8448,1779933665944,2026-05-28T10:01:05.944450,10,1,4,0,Morning,51323185,9057032,60380218,57.58,114.52,LTE,0,32,device-uuid-tester-104,-73,0,Tester Simulator Phone
1346,1779942305944,2026-05-28T12:25:05.944450,12,25,4,0,Afternoon,16363912,2887749,19251661,18.36,132.88,WIFI,1,28,device-uuid-tester-104,-104,0,Tester Simulator Phone
2448,1779950945944,2026-05-28T14:49:05.944450,14,49,4,0,Afternoon,31464888,5552627,37017515,35.3,168.18,WIFI,0,24,device-uuid-tester-104,-88,0,Tester Simulator Phone
