id,timestamp,datetime,hour,minute,day_of_week,is_weekend,time_period,bytes_rx,bytes_tx,bytes_total,mb_used,cumulative_mb_today,network_type,screen_on,battery_level,device_id,signal_strength,is_charging,device_model
1060,1779615690524,2026-05-24T17:41:30.524740,17,41,7,1,Afternoon,41045844,7243384,48289229,46.05,46.05,WIFI,1,100,device-uuid-tester-103,-105,0,Tester Simulator Phone
8031,1779624330524,2026-05-24T20:05:30.524740,20,5,7,1,Evening,23914096,4220134,28134230,26.83,72.88,5G,0,96,device-uuid-tester-103,-104,0,Tester Simulator Phone
9572,1779632970524,2026-05-24T22:29:30.524740,22,29,7,1,Evening,13736848,2424149,16160998,15.41,88.3,5G,1,92,device-uuid-tester-103,-105,1,Tester Simulator Phone
7640,1779641610524,2026-05-25T00:53:30.524740,0,53,1,0,Night,1953091,344663,2297754,2.19,2.19,WIFI,0,88,device-uuid-tester-103,-84,0,Tester Simulator Phone
7392,1779650250524,2026-05-25T03:17:30.524740,3,17,1,0,Night,34514472,6090789,40605261,38.72,40.92,LTE,0,84,device-uuid-tester-103,-96,0,Tester Simulator Phone
7480,1779658890524,2026-05-25T05:41:30.524740,5,41,1,0,Night,5702443,1006313,6708757,6.4,47.31,5G,0,80,device-uuid-tester-103,-75,0,Tester Simulator Phone
6844,1779667530524,2026-05-25T08:05:30.524740,8,5,1,0,Morning,15700050,2770597,18470648,17.61,64.93,5G,0,76,device-uuid-tester-103,-80,0,Tester Simulator Phone
6965,1779676170524,2026-05-25T10:29:30.524740,10,29,1,0,Morning,27925621,4928050,32853672,31.33,96.26,5G,0,72,device-uuid-tester-103,-105,0,Tester Simulator Phone
8982,1779684810524,2026-05-25T12:53:30.524740,12,53,1,0,Afternoon,5116383,902891,6019275,5.74,102.0,WIFI,1,68,device-uuid-tester-103,-92,0,Tester Simulator Phone
4206,1779693450524,2026-05-25T15:17:30.524740,15,17,1,0,Afternoon,11456742,2021778,13478520,12.85,114.85,5G,0,64,device-uuid-tester-103,-96,0,Tester Simulator Phone
5226,1779702090524,2026-05-25T17:41:30.524740,17,41,1,0,Afternoon,20151389,3556127,23707517,22.61,137.46,5G,1,60,device-uuid-tester-103,-87,0,Tester Simulator Phone
5883,1779710730524,2026-05-25T20:05:30.524740,20,5,1,0,Evening,63963349,11287649,75250999,71.76,209.23,WIFI,0,56,device-uuid-tester-103,-84,0,Tester Simulator Phone
3566,1779719370524,2026-05-25T22:29:30.524740,22,29,1,0,Evening,19212027,3390357,22602385,21.56,230.78,LTE,0,52,device-uuid-tester-103,-89,1,Tester Simulator Phone
8288,1779728010524,2026-05-26T00:53:30.524740,0,53,2,0,Night,56588203,9986153,66574357,63.49,63.49,5G,0,48,device-uuid-tester-103,-95,0,Tester Simulator Phone
2858,1779736650524,2026-05-26T03:17:30.524740,3,17,2,0,Night,60182182,10620385,70802567,67.52,131.01,WIFI,0,44,device-uuid-tester-103,-78,0,Tester Simulator Phone
