id,timestamp,datetime,hour,minute,day_of_week,is_weekend,time_period,bytes_rx,bytes_tx,bytes_total,mb_used,cumulative_mb_today,network_type,screen_on,battery_level,device_id,signal_strength,is_charging,device_model
4729,1779615682880,2026-05-24T17:41:22.880020,17,41,7,1,Afternoon,58009744,10237013,68246758,65.09,65.09,LTE,1,100,device-uuid-tester-101,-95,0,Tester Simulator Phone
2623,1779624322880,2026-05-24T20:05:22.880020,20,5,7,1,Evening,11655690,2056886,13712577,13.08,78.16,LTE,1,96,device-uuid-tester-101,-83,1,Tester Simulator Phone
5370,1779632962880,2026-05-24T22:29:22.880020,22,29,7,1,Evening,25067530,4423681,29491212,28.13,106.29,5G,1,92,device-uuid-tester-101,-70,0,Tester Simulator Phone
7448,1779641602880,2026-05-25T00:53:22.880020,0,53,1,0,Night,29546563,5214099,34760662,33.15,33.15,WIFI,0,88,device-uuid-tester-101,-98,1,Tester Simulator Phone
4022,1779650242880,2026-05-25T03:17:22.880020,3,17,1,0,Night,15388067,2715541,18103608,17.26,50.42,LTE,0,84,device-uuid-tester-101,-101,0,Tester Simulator Phone
9886,1779658882880,2026-05-25T05:41:22.880020,5,41,1,0,Night,36664728,6470246,43134974,41.14,91.55,5G,1,80,device-uuid-tester-101,-94,1,Tester Simulator Phone
3488,1779667522880,2026-05-25T08:05:22.880020,8,5,1,0,Morning,62480100,11025900,73506001,70.1,161.65,WIFI,1,76,device-uuid-tester-101,-98,0,Tester Simulator Phone
8608,1779676162880,2026-05-25T10:29:22.880020,10,29,1,0,Morning,60454118,10668373,71122492,67.83,229.48,5G,0,72,device-uuid-tester-101,-70,0,Tester Simulator Phone
1354,1779684802880,2026-05-25T12:53:22.880020,12,53,1,0,Afternoon,22994924,4057927,27052852,25.8,255.28,LTE,0,68,device-uuid-tester-101,-98,0,Tester Simulator Phone
9988,1779693442880,2026-05-25T15:17:22.880020,15,17,1,0,Afternoon,43956081,7756955,51713036,49.32,304.6,WIFI,1,64,device-uuid-tester-101,-68,0,Tester Simulator Phone
4650,1779702082880,2026-05-25T17:41:22.880020,17,41,1,0,Afternoon,12338697,2177417,14516114,13.84,318.44,WIFI,0,60,device-uuid-tester-101,-87,0,Tester Simulator Phone
5933,1779710722880,2026-05-25T20:05:22.880020,20,5,1,0,Evening,6748970,1190994,7939965,7.57,326.01,WIFI,0,56,device-uuid-tester-101,-72,0,Tester Simulator Phone
3913,1779719362880,2026-05-25T22:29:22.880020,22,29,1,0,Evening,4354083,768367,5122451,4.89,330.9,LTE,1,52,device-uuid-tester-101,-77,0,Tester Simulator Phone
5115,1779728002880,2026-05-26T00:53:22.880020,0,53,2,0,Night,67405522,11895092,79300614,75.63,75.63,5G,1,48,device-uuid-tester-101,-90,1,Tester Simulator Phone
2948,1779736642880,2026-05-26T03:17:22.880020,3,17,2,0,Night,70681416,12473191,83154608,79.3,154.93,WIFI,1,44,device-uuid-tester-101,-65,1,Tester Simulator Phone
7717,1779745282880,2026-05-26T05:41:22.880020,5,41,2,0,Night,30461025,5375475,35836501,34.18,189.11,5G,1,40,device-uuid-tester-101,-83,0,Tester Simulator Phone
3877,1779753922880,2026-05-26T08:05:22.880020,8,5,2,0,Morning,34108720,6019185,40127906,38.27,227.37,WIFI,1,36,device-uuid-tester-101,-94,1,Tester Simulator Phone
8734,1779762562880,2026-05-26T10:29:22.880020,10,29,2,0,Morning,7307733,1289600,8597334,8.2,235.57,WIFI,0,32,device-uuid-tester-101,-73,1,Tester Simulator Phone
9254,1779771202880,2026-05-26T12:53:22.880020,12,53,2,0,Afternoon,14555975,2568701,17124677,16.33,251.91,5G,1,28,device-uuid-tester-101,-86,1,Tester Simulator Phone
7855,1779779842880,2026-05-26T15:17:22.880020,15,17,2,0,Afternoon,7334990,1294410,8629400,8.23,260.13,WIFI,1,24,device-uuid-tester-101,-104,0,Tester Simulator Phone
6655,1779788482880,2026-05-26T17:41:22.880020,17,41,2,0,Afternoon,36386453,6421138,42807592,40.82,300.96,LTE,0,100,device-uuid-tester-101,-99,1,Tester Simulator Phone
9943,1779797122880,2026-05-26T20:05:22.880020,20,5,2,0,Evening,25987739,4586071,30573810,29.16,330.12,5G,1,96,device-uuid-tester-101,-96,1,Tester Simulator Phone
8956,1779805762880,2026-05-26T22:29:22.880020,22,29,2,0,Evening,2995205,528565,3523770,3.36,333.48,WIFI,1,92,device-uuid-tester-101,-88,0,Tester Simulator Phone
9124,1779814402880,2026-05-27T00:53:22.880020,0,53,3,0,Night,66749618,11779344,78528962,74.89,74.89,5G,1,88,device-uuid-tester-101,-70,0,Tester Simulator Phone
5486,1779823042880,2026-05-27T03:17:22.880020,3,17,3,0,Night,53057601,9363106,62420707,59.53,134.42,WIFI,1,84,device-uuid-tester-101,-78,0,Tester Simulator Phone
5347,1779831682880,2026-05-27T05:41:22.880020,5,41,3,0,Night,42248791,7455669,49704460,47.4,181.82,LTE,1,80,device-uuid-tester-101,-80,0,Tester Simulator Phone
7800,1779840322880,2026-05-27T08:05:22.880020,8,5,3,0,Morning,60774731,10724952,71499684,68.19,250.01,LTE,0,76,device-uuid-tester-101,-98,1,Tester Simulator Phone
7775,1779848962880,2026-05-27T10:29:22.880020,10,29,3,0,Morning,19985742,3526895,23512638,22.42,272.43,WIFI,1,72,device-uuid-tester-101,-84,0,Tester Simulator Phone
2751,1779857602880,2026-05-27T12:53:22.880020,12,53,3,0,Afternoon,41282938,7285224,48568163,46.32,318.75,WIFI,0,68,device-uuid-tester-101,-78,0,Tester Simulator Phone
8916,1779866242880,2026-05-27T15:17:22.880020,15,17,3,0,Afternoon,58536080,10329896,68865977,65.68,384.43,5G,1,64,device-uuid-tester-101,-83,0,Tester Simulator Phone
8799,1779874882880,2026-05-27T17:41:22.880020,17,41,3,0,Afternoon,52747675,9308413,62056089,59.18,443.61,LTE,1,60,device-uuid-tester-101,-80,1,Tester Simulator Phone
2420,1779883522880,2026-05-27T20:05:22.880020,20,5,3,0,Evening,32358237,5710277,38068514,36.3,479.91,WIFI,0,56,device-uuid-tester-101,-68,0,Tester Simulator Phone
5638,1779892162880,2026-05-27T22:29:22.880020,22,29,3,0,Evening,46890861,8274857,55165718,52.61,532.52,WIFI,1,52,device-uuid-tester-101,-65,1,Tester Simulator Phone
1623,1779900802880,2026-05-28T00:53:22.880020,0,53,4,0,Night,47312689,8349298,55661987,53.08,53.08,WIFI,1,48,device-uuid-tester-101,-85,0,Tester Simulator Phone
